date,feature_index,NO2
2025-01-30T00:00:00.000Z,0,
2025-01-26T00:00:00.000Z,0,3.818897675955668E-5
2025-01-27T00:00:00.000Z,0,
2025-01-28T00:00:00.000Z,0,
2025-01-31T00:00:00.000Z,0,
2025-01-17T00:00:00.000Z,0,
2025-01-21T00:00:00.000Z,0,6.373798532877117E-5
2025-01-18T00:00:00.000Z,0,3.929588251594396E-5
2025-01-23T00:00:00.000Z,0,
2025-01-22T00:00:00.000Z,0,5.170900749362772E-5
2025-01-20T00:00:00.000Z,0,
2025-01-19T00:00:00.000Z,0,
2025-01-16T00:00:00.000Z,0,
2025-02-17T00:00:00.000Z,0,
2025-02-20T00:00:00.000Z,0,
2025-02-21T00:00:00.000Z,0,
2025-02-24T00:00:00.000Z,0,
2025-02-22T00:00:00.000Z,0,
2025-02-18T00:00:00.000Z,0,
2025-02-19T00:00:00.000Z,0,3.7970507138298773E-5
2025-02-23T00:00:00.000Z,0,
2025-01-13T00:00:00.000Z,0,
2025-01-08T00:00:00.000Z,0,2.161496740882285E-5
2025-01-10T00:00:00.000Z,0,
2025-01-09T00:00:00.000Z,0,3.417051387562727E-5
2025-01-15T00:00:00.000Z,0,
2025-01-11T00:00:00.000Z,0,4.2020411106372754E-5
2025-01-14T00:00:00.000Z,0,
2025-01-12T00:00:00.000Z,0,
2025-08-25T00:00:00.000Z,0,2.127921689912941E-5
2025-08-26T00:00:00.000Z,0,4.5733729935958625E-5
2025-08-20T00:00:00.000Z,0,1.952235008502612E-5
2025-08-27T00:00:00.000Z,0,5.2606278545268154E-5
2025-08-21T00:00:00.000Z,0,
2025-08-24T00:00:00.000Z,0,2.9016823282290717E-5
2025-08-22T00:00:00.000Z,0,5.01555042673216E-5
2025-08-23T00:00:00.000Z,0,1.5533652350541162E-5
2025-04-06T00:00:00.000Z,0,3.7950448030541236E-5
2025-04-11T00:00:00.000Z,0,
2025-04-13T00:00:00.000Z,0,
2025-04-10T00:00:00.000Z,0,
2025-04-08T00:00:00.000Z,0,1.297575181524735E-5
2025-04-12T00:00:00.000Z,0,
2025-04-09T00:00:00.000Z,0,
2025-04-07T00:00:00.000Z,0,2.2190726440385333E-5
2025-02-26T00:00:00.000Z,0,
2025-03-02T00:00:00.000Z,0,2.8566129003593232E-5
2025-03-04T00:00:00.000Z,0,3.255336832808098E-5
2025-02-25T00:00:00.000Z,0,2.696824309499458E-5
2025-03-03T00:00:00.000Z,0,2.550425704157533E-5
2025-02-27T00:00:00.000Z,0,
2025-02-28T00:00:00.000Z,0,5.567926782532595E-5
2025-03-01T00:00:00.000Z,0,3.1986257727112386E-5
2025-05-29T00:00:00.000Z,0,2.757188780378783E-5
2025-05-24T00:00:00.000Z,0,4.781431198352948E-5
2025-05-28T00:00:00.000Z,0,3.284061819743199E-5
2025-05-27T00:00:00.000Z,0,
2025-05-25T00:00:00.000Z,0,1.831610297813313E-5
2025-05-30T00:00:00.000Z,0,2.774461747070871E-5
2025-05-26T00:00:00.000Z,0,
2025-05-31T00:00:00.000Z,0,1.4309657368964205E-5
2025-06-15T00:00:00.000Z,0,1.2947172573755475E-5
2025-06-14T00:00:00.000Z,0,
2025-06-13T00:00:00.000Z,0,4.849416291108355E-5
2025-06-10T00:00:00.000Z,0,2.4284684348623902E-5
2025-06-09T00:00:00.000Z,0,
2025-06-16T00:00:00.000Z,0,1.6063017271032246E-5
2025-06-11T00:00:00.000Z,0,1.7519457208856274E-5
2025-06-12T00:00:00.000Z,0,1.3568762096838326E-5
2025-07-12T00:00:00.000Z,0,
2025-07-14T00:00:00.000Z,0,4.536060244693848E-5
2025-07-15T00:00:00.000Z,0,3.27364928125462E-5
2025-07-17T00:00:00.000Z,0,3.1665667298360255E-5
2025-07-11T00:00:00.000Z,0,1.9592077958208165E-5
2025-07-18T00:00:00.000Z,0,2.5319469107041816E-5
2025-07-16T00:00:00.000Z,0,3.476961688496279E-5
2025-07-13T00:00:00.000Z,0,1.0991744147759164E-5
2025-09-03T00:00:00.000Z,0,1.4838424408480933E-5
2025-09-04T00:00:00.000Z,0,1.3689421016830525E-5
2025-09-02T00:00:00.000Z,0,1.2943341289428645E-5
2025-08-29T00:00:00.000Z,0,2.4286361632997295E-5
2025-08-30T00:00:00.000Z,0,2.3228629136913998E-5
2025-08-28T00:00:00.000Z,0,2.0347092854704157E-5
2025-08-31T00:00:00.000Z,0,1.785951677188028E-5
2025-09-01T00:00:00.000Z,0,1.7058305838006726E-5
