mel_7_std,chroma_0_mean,mel_6_std,stat_skew,mel_7_mean,label
0.00021659538,0.5089628,0.00037460783,0.2046004343787935,0.00024622088,buka
0.0011068655,0.66559535,0.003587766,1.618846486057807,0.00079757604,buka
0.00012199811,0.52873534,0.00039574242,0.1836814891458456,0.00035882872,buka
0.0015106809,0.50048244,0.00568455,-0.21165840951620968,0.0006341598,tutup
0.00073829293,0.87797827,0.0010185131,-0.06871785174865278,0.0003939884,buka
0.0004203726,0.5526445,0.00040206328,0.345733467982564,0.00031755582,buka
0.0497499,0.38837224,0.08746963,1.69044719487489,0.015047025,tutup
0.0036445651,0.38342884,0.004909121,-0.44426255785067437,0.0011474552,tutup
0.035780407,0.4257042,0.009150545,-0.9312220051275981,0.009412728,tutup
0.0031930434,0.7727401,0.005785029,0.38733619209231085,0.0008259956,buka
0.0014313997,0.6368396,0.0012254708,0.23495896694145874,0.0009773881,buka
0.028414069,0.41643035,0.023307808,1.1808798598403791,0.0071363207,tutup
0.0027025023,0.48072225,0.0037443647,-0.37164775267112776,0.0009017838,tutup
0.0008985959,0.5500999,0.002164121,1.3939499830331115,0.00066146045,buka
0.08623044,0.4170225,0.08550188,1.779601300279436,0.020934405,tutup
0.011152335,0.31333062,0.009032591,-1.0468962104007213,0.002986055,tutup
0.00015913362,0.76471406,0.0002978738,0.1871125013237734,0.0002763718,buka
0.035382852,0.4384353,0.03698339,1.28690550584741,0.013804787,tutup
0.0010738303,0.7663782,0.0014958548,1.7047191782180526,0.00061444874,buka
0.0010450875,0.7525356,0.0015834387,0.5734329164684812,0.00050428417,buka
0.006948469,0.46104872,0.0058828746,-0.9545604706963972,0.0019736716,tutup
0.0022370734,0.57351184,0.0027913675,1.4674376268548088,0.0011477418,buka
0.001429262,0.6667833,0.0025830586,3.12948798590151,0.0007003771,buka
0.010358549,0.59628826,0.0045181364,0.3636510757804517,0.003570538,buka
0.011840882,0.17685363,0.012108641,-0.9855269730345273,0.0038896843,tutup
0.09779926,0.48607263,0.18073675,1.8627218677282396,0.023219591,tutup
0.00029068082,0.57051516,0.0008564834,0.28200578793357356,0.0002918802,buka
0.0007367985,0.6736882,0.00088653,0.230034499288736,0.00047728792,buka
0.0007286335,0.7086189,0.0017486886,0.35635478239744756,0.0003648473,buka
7.4904216e-05,0.5569958,0.00022847204,0.3675443202589628,0.00020470751,buka
0.06364807,0.54331154,0.09396665,1.7392250207119067,0.015083033,tutup
0.00010751704,0.5571894,0.00025225597,0.2839431705910184,0.00017056828,buka
0.05332512,0.38760492,0.050838955,1.001057825054527,0.020296546,tutup
0.0056376187,0.36119998,0.0018637915,1.4726704838263251,0.002640578,buka
0.0057630646,0.5383988,0.005166655,1.136328205552388,0.002128833,buka
0.00024527573,0.77207315,0.00043878207,0.1740775446263025,0.0003707691,buka
0.005255991,0.25565946,0.020207694,-0.865595571733223,0.0019618592,tutup
0.039559625,0.48712933,0.047213342,1.3147334743650743,0.014594827,tutup
0.0022045707,0.43957236,0.007070988,1.9719903082768244,0.0015221966,buka
0.009772568,0.5820354,0.0044954526,0.46052350515498086,0.0033405907,buka
0.020871583,0.5076651,0.040906508,1.20029908377196,0.008116416,buka
0.086968236,0.27753982,0.01457439,-0.907074114281791,0.020493101,tutup
0.005940624,0.61602783,0.009261506,0.8868384589488133,0.0020809288,buka
0.00010904063,0.62496537,0.00024565888,0.4311314783880806,0.0002075659,buka
0.029297978,0.43771327,0.07933378,2.1157794138435677,0.009718557,tutup
0.026206596,0.31965348,0.048267514,1.2947535818695781,0.008306338,tutup
0.0017301947,0.58618295,0.0012329515,0.2508331223114334,0.0011804283,buka
0.0010939388,0.5935034,0.0020082018,1.97862806292969,0.00068379263,buka
0.119450085,0.3967269,0.11081838,1.829588181323713,0.046353444,tutup
0.012929025,0.57178444,0.046231143,0.26593832504097986,0.006694894,buka
0.009600893,0.29238158,0.013235776,-0.8878240870103268,0.0027792046,tutup
0.0056076185,0.5507333,0.008282244,1.7179468992643379,0.0022133314,buka
0.018780483,0.5400827,0.04904672,0.1779852980328662,0.0044185477,tutup
0.0017112208,0.2923126,0.0035708877,1.8611734218522886,0.0012252842,buka
0.017376078,0.360563,0.005515677,1.7860940301709496,0.004746483,tutup
0.00926473,0.6011815,0.026244888,-1.2570450253123233,0.009034768,buka
0.04905447,0.5348945,0.04889661,1.969537947623178,0.018885098,tutup
0.046641637,0.33739245,0.018696146,2.262960490483503,0.013789005,tutup
0.02181993,0.439379,0.010302986,-0.3565520608691062,0.0053446637,tutup
0.00019010746,0.62705636,0.0007790901,0.44640054606939006,0.00032902925,buka
6.202069e-05,0.5515597,0.00020977683,0.42021838397849,0.00016448453,buka
0.005271242,0.6681786,0.025513073,2.5609935541409405,0.0017025876,buka
0.001133941,0.4783616,0.0018263807,-0.05287795880187027,0.0004365339,tutup
0.009613086,0.5434771,0.0035096344,1.7047488014902243,0.003882184,buka
0.00036553177,0.3917332,0.0007379479,0.146495198731357,0.00031191894,buka
0.003341848,0.5468823,0.0034339873,-0.7341019875008509,0.0012541685,tutup
0.0009310178,0.57228,0.0029459617,0.2609653754673937,0.00049682887,buka
0.015179704,0.46092364,0.012432128,-1.2299630341163847,0.004077174,tutup
0.0032159737,0.7621825,0.006523301,1.7645873390282067,0.001335747,buka
0.07860248,0.46090612,0.05389254,1.3443729995847953,0.029761355,tutup
0.0006967713,0.6753988,0.0005073284,0.29908991931037976,0.00047277042,buka
0.011589289,0.62077004,0.0026313353,-0.46322310949551265,0.0030330822,tutup
0.0002979613,0.78980386,0.00036992814,0.05466153293633376,0.00027622786,buka
9.929343e-05,0.7508564,0.00060945586,0.347818873310556,0.00025324026,buka
0.03246112,0.41524723,0.014682071,-0.5448754748741438,0.008824903,tutup
0.010052144,0.5947111,0.021896211,0.23039810528677487,0.002181101,buka
0.000108224114,0.56724447,0.00017132938,0.2073634135748121,0.0001659517,buka
0.0072913794,0.64086807,0.013724455,1.9577296222475662,0.00266457,buka
0.0017891045,0.6019924,0.004670923,1.064947388935564,0.00064077694,buka
0.005053389,0.2812426,0.004329841,-0.7777966434559744,0.0016670014,tutup
0.0034489871,0.51122385,0.0023045628,-0.3331647969541388,0.001071501,tutup
0.120293245,0.362119,0.23585996,1.2099493917463493,0.027939944,tutup
0.05974636,0.51672226,0.15940975,1.1201081695989201,0.015335968,tutup
0.0006854957,0.2634013,0.0025569205,-0.5341483417156109,0.0005990435,tutup
0.0020788973,0.6900641,0.0033470846,0.4754856457824672,0.0008605662,buka
0.0076811304,0.5155711,0.0054469956,-0.49022809175655585,0.0021010926,tutup
0.00060424616,0.5197294,0.00065344665,0.2982162332874181,0.00036606204,buka
0.013310271,0.44877213,0.007320506,-1.404575707442513,0.0037869385,tutup
0.0010896432,0.79008466,0.00050241075,0.5486399374463955,0.00042567868,buka
0.0010118934,0.5449798,0.0015946375,0.27867131373833576,0.0005783112,buka
0.0010112624,0.47273767,0.001698893,-0.322089130133234,0.000495658,tutup
0.002652735,0.47682163,0.00388619,0.07393352250655083,0.00083758426,tutup
0.00016318426,0.63290644,0.00047379697,0.1999486370800156,0.00032438117,buka
0.0003318634,0.6221571,0.00033635678,0.2376895901542843,0.0002607484,buka
0.043561153,0.3612499,0.064135574,0.9014143801618455,0.0116031375,tutup
0.009013213,0.4714365,0.0057072737,-0.6399968980331717,0.0025994973,tutup
0.0406796,0.2586838,0.0071213115,0.692882678239386,0.011799541,buka
0.124750026,0.39716312,0.20148857,2.0001333194552617,0.029967308,tutup
0.0012909243,0.695989,0.0030406327,1.8731723914878151,0.0006052729,buka
0.013545655,0.52878475,0.010924601,-0.6012588110260859,0.0033642577,tutup
0.021606963,0.6577041,0.013055769,-0.6477664702970037,0.005565701,tutup
0.015688203,0.56522185,0.017075151,0.095034803569343,0.0053463676,tutup
0.01182337,0.42761984,0.013460488,-0.6400457944868941,0.0030498775,tutup
0.031850886,0.43379363,0.039040986,-0.3845436116536411,0.008359454,tutup
0.09198735,0.5155335,0.051273957,1.8869347040274773,0.02169115,tutup
0.0021585275,0.53041124,0.0095076235,2.1174076376873,0.0014313682,buka
9.5062e-05,0.7577805,0.00021762223,0.31466777998693196,0.00020677307,buka
0.00085982267,0.6126985,0.0012427602,1.2474666389321598,0.0011431243,buka
0.13240281,0.3166606,0.16085438,1.44845621392052,0.030762754,tutup
0.0002324486,0.62385124,0.0012373803,-0.4211121477920781,0.00019368896,tutup
0.0014621909,0.7016947,0.0030772341,2.5758239824819484,0.0008328182,buka
0.00059475977,0.49518144,0.00071783847,0.07809383757470544,0.00047110085,buka
0.080779366,0.3287675,0.16389665,2.225007470262962,0.023155065,tutup
0.052451715,0.29686478,0.06591073,1.2981842313316247,0.014446828,tutup
0.007712585,0.5962476,0.004552232,-0.21425114577582627,0.002175668,tutup
0.05387285,0.5064061,0.026371108,-0.04672803575703503,0.018056486,tutup
